Bit Position,Bit description,Bit Type
129,>= 1 any ring size 4,Rings in a Canonic Extended Smallest Set of Rings
130,>= 1 saturated or aromatic carbon-only ring size 4,Rings in a Canonic Extended Smallest Set of Rings
131,>= 1 saturated or aromatic nitrogen-containing ring size 4,Rings in a Canonic Extended Smallest Set of Rings
132,>= 1 saturated or aromatic heteroatom-containing ring size 4,Rings in a Canonic Extended Smallest Set of Rings
133,>= 1 unsaturated non-aromatic carbon-only ring size 4,Rings in a Canonic Extended Smallest Set of Rings
134,>= 1 unsaturated non-aromatic nitrogen-containing ring size 4,Rings in a Canonic Extended Smallest Set of Rings
135,>= 1 unsaturated non-aromatic heteroatom-containing ring size 4,Rings in a Canonic Extended Smallest Set of Rings
136,>= 2 any ring size 4,Rings in a Canonic Extended Smallest Set of Rings
137,>= 2 saturated or aromatic carbon-only ring size 4,Rings in a Canonic Extended Smallest Set of Rings
138,>= 2 saturated or aromatic nitrogen-containing ring size 4,Rings in a Canonic Extended Smallest Set of Rings
139,>= 2 saturated or aromatic heteroatom-containing ring size 4,Rings in a Canonic Extended Smallest Set of Rings
140,>= 2 unsaturated non-aromatic carbon-only ring size 4,Rings in a Canonic Extended Smallest Set of Rings
141,>= 2 unsaturated non-aromatic nitrogen-containing ring size 4,Rings in a Canonic Extended Smallest Set of Rings
142,>= 2 unsaturated non-aromatic heteroatom-containing ring size 4,Rings in a Canonic Extended Smallest Set of Rings
143,>= 1 any ring size 5,Rings in a Canonic Extended Smallest Set of Rings
144,>= 1 saturated or aromatic carbon-only ring size 5,Rings in a Canonic Extended Smallest Set of Rings
145,>= 1 saturated or aromatic nitrogen-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
146,>= 1 saturated or aromatic heteroatom-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
147,>= 1 unsaturated non-aromatic carbon-only ring size 5,Rings in a Canonic Extended Smallest Set of Rings
148,>= 1 unsaturated non-aromatic nitrogen-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
149,>= 1 unsaturated non-aromatic heteroatom-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
150,>= 2 any ring size 5,Rings in a Canonic Extended Smallest Set of Rings
151,>= 2 saturated or aromatic carbon-only ring size 5,Rings in a Canonic Extended Smallest Set of Rings
152,>= 2 saturated or aromatic nitrogen-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
153,>= 2 saturated or aromatic heteroatom-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
154,>= 2 unsaturated non-aromatic carbon-only ring size 5,Rings in a Canonic Extended Smallest Set of Rings
